fl	sample	correlation
62	ER_Veh_1	0
62	ER_Veh_2	0
62	ER_Veh_3	0
63	ER_DHT_1	0
63	ER_DHT_2	0
63	ER_DHT_3	0
63	ER_Veh_1	0
63	ER_Veh_2	0
63	ER_Veh_3	0
64	ER_DHT_1	0
64	ER_DHT_2	0
64	ER_DHT_3	0
64	ER_Veh_1	0
64	ER_Veh_2	0
64	ER_Veh_3	0
65	ER_DHT_1	0
65	ER_DHT_2	0
65	ER_DHT_3	0
65	ER_Veh_1	0
65	ER_Veh_2	0
65	ER_Veh_3	0
66	ER_DHT_1	0
66	ER_DHT_2	0
66	ER_DHT_3	0
66	ER_Veh_1	0
66	ER_Veh_2	0
66	ER_Veh_3	0
67	ER_DHT_1	0
67	ER_DHT_2	0
67	ER_DHT_3	0
67	ER_Veh_1	0
67	ER_Veh_2	0
67	ER_Veh_3	0
68	ER_DHT_1	0
68	ER_DHT_2	0
68	ER_DHT_3	0
68	ER_Veh_1	0
68	ER_Veh_2	0
68	ER_Veh_3	0
69	ER_DHT_1	0
69	ER_DHT_2	0
69	ER_DHT_3	0
69	ER_Veh_1	0
69	ER_Veh_2	0
69	ER_Veh_3	0
70	ER_DHT_1	0
70	ER_DHT_2	0
70	ER_DHT_3	0
70	ER_Veh_1	0
70	ER_Veh_2	0
70	ER_Veh_3	0
71	ER_DHT_1	0
71	ER_DHT_2	0
71	ER_DHT_3	0
71	ER_Veh_1	0
71	ER_Veh_2	0
71	ER_Veh_3	0
72	ER_DHT_1	0
72	ER_DHT_2	0
72	ER_DHT_3	0
72	ER_Veh_1	0
72	ER_Veh_2	0
72	ER_Veh_3	0
73	ER_DHT_1	0
73	ER_DHT_2	0
73	ER_DHT_3	0
73	ER_Veh_1	0
73	ER_Veh_2	0
73	ER_Veh_3	0
74	ER_DHT_1	0
74	ER_DHT_2	0
74	ER_DHT_3	0
74	ER_Veh_1	0
74	ER_Veh_2	0
74	ER_Veh_3	0
75	ER_DHT_1	0
75	ER_DHT_2	0
75	ER_DHT_3	0
75	ER_Veh_1	0
75	ER_Veh_2	0
75	ER_Veh_3	0
76	ER_DHT_1	0
76	ER_DHT_2	0
76	ER_DHT_3	0
76	ER_Veh_1	0
76	ER_Veh_2	0
76	ER_Veh_3	0
77	ER_DHT_1	0
77	ER_DHT_2	0
77	ER_DHT_3	0
77	ER_Veh_1	0
77	ER_Veh_2	0
77	ER_Veh_3	0
78	ER_DHT_1	0
78	ER_DHT_2	0
78	ER_DHT_3	0
78	ER_Veh_1	0
78	ER_Veh_2	0
78	ER_Veh_3	0
79	ER_DHT_1	0
79	ER_DHT_2	0
79	ER_DHT_3	0
79	ER_Veh_1	0
79	ER_Veh_2	0
79	ER_Veh_3	0
80	ER_DHT_1	0
80	ER_DHT_2	0
80	ER_DHT_3	0
80	ER_Veh_1	0
80	ER_Veh_2	0
80	ER_Veh_3	0
81	ER_DHT_1	0
81	ER_DHT_2	0
81	ER_DHT_3	0
81	ER_Veh_1	0
81	ER_Veh_2	0
81	ER_Veh_3	0
82	ER_DHT_1	0
82	ER_DHT_2	0
82	ER_DHT_3	0
82	ER_Veh_1	0
82	ER_Veh_2	0
82	ER_Veh_3	0
83	ER_DHT_1	0
83	ER_DHT_2	0
83	ER_DHT_3	0
83	ER_Veh_1	0
83	ER_Veh_2	0
83	ER_Veh_3	0
84	ER_DHT_1	0
84	ER_DHT_2	0
84	ER_DHT_3	0
84	ER_Veh_1	0
84	ER_Veh_2	0
84	ER_Veh_3	0
85	ER_DHT_1	0
85	ER_DHT_2	0
85	ER_DHT_3	0
85	ER_Veh_1	0
85	ER_Veh_2	0
85	ER_Veh_3	0
86	ER_DHT_1	0
86	ER_DHT_2	0
86	ER_DHT_3	0
86	ER_Veh_1	0
86	ER_Veh_2	0
86	ER_Veh_3	0
87	ER_DHT_1	0
87	ER_DHT_2	0
87	ER_DHT_3	0
87	ER_Veh_1	0
87	ER_Veh_2	0
87	ER_Veh_3	0
88	ER_DHT_1	0
88	ER_DHT_2	0
88	ER_DHT_3	0
88	ER_Veh_1	0
88	ER_Veh_2	0
88	ER_Veh_3	0
89	ER_DHT_1	0
89	ER_DHT_2	0
89	ER_DHT_3	0
89	ER_Veh_1	0
89	ER_Veh_2	0
89	ER_Veh_3	0
90	ER_DHT_1	0
90	ER_DHT_2	0
90	ER_DHT_3	0
90	ER_Veh_1	0
90	ER_Veh_2	0
90	ER_Veh_3	0
91	ER_DHT_1	0
91	ER_DHT_2	0
91	ER_DHT_3	0
91	ER_Veh_1	0
91	ER_Veh_2	0
91	ER_Veh_3	0
92	ER_DHT_1	0
92	ER_DHT_2	0
92	ER_DHT_3	0
92	ER_Veh_1	0
92	ER_Veh_2	0
92	ER_Veh_3	0
93	ER_DHT_1	0
93	ER_DHT_2	0
93	ER_DHT_3	0
93	ER_Veh_1	0
93	ER_Veh_2	0
93	ER_Veh_3	0
94	ER_DHT_1	0
94	ER_DHT_2	0
94	ER_DHT_3	0
94	ER_Veh_1	0
94	ER_Veh_2	0
94	ER_Veh_3	0
95	ER_DHT_1	0
95	ER_DHT_2	0
95	ER_DHT_3	0
95	ER_Veh_1	0
95	ER_Veh_2	0
95	ER_Veh_3	0
96	ER_DHT_1	0
96	ER_DHT_2	0
96	ER_DHT_3	0
96	ER_Veh_1	0
96	ER_Veh_2	0
96	ER_Veh_3	0
97	ER_DHT_1	0
97	ER_DHT_2	0
97	ER_DHT_3	0
97	ER_Veh_1	0
97	ER_Veh_2	0
97	ER_Veh_3	0
98	ER_DHT_1	0
98	ER_DHT_2	0
98	ER_DHT_3	0
98	ER_Veh_1	0
98	ER_Veh_2	0
98	ER_Veh_3	0
99	ER_DHT_1	0
99	ER_DHT_2	0
99	ER_DHT_3	0
99	ER_Veh_1	0
99	ER_Veh_2	0
99	ER_Veh_3	0
100	ER_DHT_1	0
100	ER_DHT_2	0
100	ER_DHT_3	0
100	ER_Veh_1	0
100	ER_Veh_2	0
100	ER_Veh_3	0
101	ER_DHT_1	0
101	ER_DHT_2	0
101	ER_DHT_3	0
101	ER_Veh_1	0
101	ER_Veh_2	0
101	ER_Veh_3	0
102	ER_DHT_1	0
102	ER_DHT_2	0
102	ER_DHT_3	0
102	ER_Veh_1	0
102	ER_Veh_2	0
102	ER_Veh_3	0
103	ER_DHT_1	0
103	ER_DHT_2	0
103	ER_DHT_3	0
103	ER_Veh_1	0
103	ER_Veh_2	0
103	ER_Veh_3	0
104	ER_DHT_1	0
104	ER_DHT_2	0
104	ER_DHT_3	0
104	ER_Veh_1	0
104	ER_Veh_2	0
104	ER_Veh_3	0
105	ER_DHT_1	0
105	ER_DHT_2	0
105	ER_DHT_3	0
105	ER_Veh_1	0
105	ER_Veh_2	0
105	ER_Veh_3	0
106	ER_DHT_1	0
106	ER_DHT_2	0
106	ER_DHT_3	0
106	ER_Veh_1	0
106	ER_Veh_2	0
106	ER_Veh_3	0
107	ER_DHT_1	0
107	ER_DHT_2	0
107	ER_DHT_3	0
107	ER_Veh_1	0
107	ER_Veh_2	0
107	ER_Veh_3	0
108	ER_DHT_1	0
108	ER_DHT_2	0
108	ER_DHT_3	0
108	ER_Veh_1	0
108	ER_Veh_2	0
108	ER_Veh_3	0
109	ER_DHT_1	0
109	ER_DHT_2	0
109	ER_DHT_3	0
109	ER_Veh_1	0
109	ER_Veh_2	0
109	ER_Veh_3	0
110	ER_DHT_1	0
110	ER_DHT_2	0
110	ER_DHT_3	0
110	ER_Veh_1	0
110	ER_Veh_2	0
110	ER_Veh_3	0
111	ER_DHT_1	0
111	ER_DHT_2	0
111	ER_DHT_3	0
111	ER_Veh_1	0
111	ER_Veh_2	0
111	ER_Veh_3	0
112	ER_DHT_1	0
112	ER_DHT_2	0
112	ER_DHT_3	0
112	ER_Veh_1	0
112	ER_Veh_2	0
112	ER_Veh_3	0
113	ER_DHT_1	0
113	ER_DHT_2	0
113	ER_DHT_3	0
113	ER_Veh_1	0
113	ER_Veh_2	0
113	ER_Veh_3	0
114	ER_DHT_1	0
114	ER_DHT_2	0
114	ER_DHT_3	0
114	ER_Veh_1	0
114	ER_Veh_2	0
114	ER_Veh_3	0
115	ER_DHT_1	0
115	ER_DHT_2	0
115	ER_DHT_3	0
115	ER_Veh_1	0
115	ER_Veh_2	0
115	ER_Veh_3	0
116	ER_DHT_1	0
116	ER_DHT_2	0
116	ER_DHT_3	0
116	ER_Veh_1	0
116	ER_Veh_2	0
116	ER_Veh_3	0
117	ER_DHT_1	0
117	ER_DHT_2	0
117	ER_DHT_3	0
117	ER_Veh_1	0
117	ER_Veh_2	0
117	ER_Veh_3	0
118	ER_DHT_1	0
118	ER_DHT_2	0
118	ER_DHT_3	0
118	ER_Veh_1	0
118	ER_Veh_2	0
118	ER_Veh_3	0
119	ER_DHT_1	0
119	ER_DHT_2	0
119	ER_DHT_3	0
119	ER_Veh_1	0
119	ER_Veh_2	0
119	ER_Veh_3	0
120	ER_DHT_1	0
120	ER_DHT_2	0
120	ER_DHT_3	0
120	ER_Veh_1	0
120	ER_Veh_2	0
120	ER_Veh_3	0
121	ER_DHT_1	0
121	ER_DHT_2	0
121	ER_DHT_3	0
121	ER_Veh_1	0
121	ER_Veh_2	0
121	ER_Veh_3	0
122	ER_DHT_1	0
122	ER_DHT_2	0
122	ER_DHT_3	0
122	ER_Veh_1	0
122	ER_Veh_2	0
122	ER_Veh_3	0
123	ER_DHT_1	0
123	ER_DHT_2	0
123	ER_DHT_3	0
123	ER_Veh_1	0
123	ER_Veh_2	0
123	ER_Veh_3	0
124	ER_DHT_1	0
124	ER_DHT_2	0
124	ER_DHT_3	0
124	ER_Veh_1	0
124	ER_Veh_2	0
124	ER_Veh_3	0
125	ER_DHT_1	0
125	ER_DHT_2	0
125	ER_DHT_3	0
125	ER_Veh_1	0
125	ER_Veh_2	0
125	ER_Veh_3	0
126	ER_DHT_1	0
126	ER_DHT_2	0
126	ER_DHT_3	0
126	ER_Veh_1	0
126	ER_Veh_2	0
126	ER_Veh_3	0
127	ER_DHT_1	0
127	ER_DHT_2	0
127	ER_DHT_3	0
127	ER_Veh_1	0
127	ER_Veh_2	0
127	ER_Veh_3	0
128	ER_DHT_1	0
128	ER_DHT_2	0
128	ER_DHT_3	0
128	ER_Veh_1	0
128	ER_Veh_2	0
128	ER_Veh_3	0
129	ER_DHT_1	0
129	ER_DHT_2	0
129	ER_DHT_3	0
129	ER_Veh_1	0
129	ER_Veh_2	0
129	ER_Veh_3	0
130	ER_DHT_1	0
130	ER_DHT_2	0
130	ER_DHT_3	0
130	ER_Veh_1	0
130	ER_Veh_2	0
130	ER_Veh_3	0
131	ER_DHT_1	0
131	ER_DHT_2	0
131	ER_DHT_3	0
131	ER_Veh_1	0
131	ER_Veh_2	0
131	ER_Veh_3	0
132	ER_DHT_1	0
132	ER_DHT_2	0
132	ER_DHT_3	0
132	ER_Veh_1	0
132	ER_Veh_2	0
132	ER_Veh_3	0
133	ER_DHT_1	0
133	ER_DHT_2	0
133	ER_DHT_3	0
133	ER_Veh_1	0
133	ER_Veh_2	0
133	ER_Veh_3	0
134	ER_DHT_1	0
134	ER_DHT_2	0
134	ER_DHT_3	0
134	ER_Veh_1	0
134	ER_Veh_2	0
134	ER_Veh_3	0
135	ER_DHT_1	0
135	ER_DHT_2	0
135	ER_DHT_3	0
135	ER_Veh_1	0
