fl	sample	correlation
96	AR_Veh_3	0
96	AR_DHT_1	0
96	AR_DHT_2	0
96	AR_DHT_3	0
97	AR_Veh_1	0
97	AR_Veh_2	0
97	AR_Veh_3	0
97	AR_DHT_1	0
97	AR_DHT_2	0
97	AR_DHT_3	0
98	AR_Veh_1	0
98	AR_Veh_2	0
98	AR_Veh_3	0
98	AR_DHT_1	0
98	AR_DHT_2	0
98	AR_DHT_3	0
99	AR_Veh_1	0
99	AR_Veh_2	0
99	AR_Veh_3	0
99	AR_DHT_1	0
99	AR_DHT_2	0
99	AR_DHT_3	0
100	AR_Veh_1	0
100	AR_Veh_2	0
100	AR_Veh_3	0
100	AR_DHT_1	0
100	AR_DHT_2	0
100	AR_DHT_3	0
101	AR_Veh_1	0
101	AR_Veh_2	0
101	AR_Veh_3	0
101	AR_DHT_1	0
101	AR_DHT_2	0
101	AR_DHT_3	0
102	AR_Veh_1	0
102	AR_Veh_2	0
102	AR_Veh_3	0
102	AR_DHT_1	0
102	AR_DHT_2	0
102	AR_DHT_3	0
103	AR_Veh_1	0
103	AR_Veh_2	0
103	AR_Veh_3	0
103	AR_DHT_1	0
103	AR_DHT_2	0
103	AR_DHT_3	0
104	AR_Veh_1	0
104	AR_Veh_2	0
104	AR_Veh_3	0
104	AR_DHT_1	0
104	AR_DHT_2	0
104	AR_DHT_3	0
105	AR_Veh_1	0
105	AR_Veh_2	0
105	AR_Veh_3	0
105	AR_DHT_1	0
105	AR_DHT_2	0
105	AR_DHT_3	0
106	AR_Veh_1	0
106	AR_Veh_2	0
106	AR_Veh_3	0
106	AR_DHT_1	0
106	AR_DHT_2	0
106	AR_DHT_3	0
107	AR_Veh_1	0
107	AR_Veh_2	0
107	AR_Veh_3	0
107	AR_DHT_1	0
107	AR_DHT_2	0
107	AR_DHT_3	0
108	AR_Veh_1	0
108	AR_Veh_2	0
108	AR_Veh_3	0
108	AR_DHT_1	0
108	AR_DHT_2	0
108	AR_DHT_3	0
109	AR_Veh_1	0
109	AR_Veh_2	0
109	AR_Veh_3	0
109	AR_DHT_1	0
109	AR_DHT_2	0
109	AR_DHT_3	0
110	AR_Veh_1	0
